SID	Run	Trial	Stage	Expression	Decision	Time
101	3	51	1	0	None	1414018186.59
101	3	51	1	0	None	1414018186.65
101	3	51	1	0	None	1414018186.68
101	3	51	1	0	None	1414018186.71
101	3	51	1	0	None	1414018186.74
101	3	51	1	0	None	1414018186.77
101	3	51	1	0	None	1414018186.8
101	3	51	1	0	None	1414018186.84
101	3	51	1	0	None	1414018186.87
101	3	51	1	0	None	1414018186.9
101	3	51	1	0	None	1414018186.94
101	3	51	1	0	None	1414018186.97
101	3	51	1	0	None	1414018187
101	3	51	1	0	None	1414018187.04
101	3	51	1	0	None	1414018187.07
101	3	51	1	0	None	1414018187.1
101	3	51	1	0	None	1414018187.13
101	3	51	1	0	None	1414018187.17
101	3	51	1	0	None	1414018187.21
101	3	51	1	0	None	1414018187.23
101	3	51	1	0	None	1414018187.27
101	3	51	1	0	None	1414018187.3
101	3	51	1	0	None	1414018187.33
101	3	51	1	0	None	1414018187.36
101	3	51	1	0	None	1414018187.4
101	3	51	1	0	None	1414018187.44
101	3	51	1	0	None	1414018187.47
101	3	51	1	0	None	1414018187.49
101	3	51	1	0	None	1414018187.53
101	3	51	1	0	None	1414018187.56
101	3	51	1	0	None	1414018187.59
101	3	51	1	0	None	1414018187.63
101	3	51	1	0	None	1414018187.67
101	3	51	1	0	None	1414018187.7
101	3	51	1	0	None	1414018187.74
101	3	51	1	0	None	1414018187.77
101	3	51	1	0	None	1414018187.79
101	3	51	1	0	None	1414018187.83
101	3	51	1	0	None	1414018187.87
101	3	51	1	0	None	1414018187.89
101	3	51	1	0	None	1414018187.92
101	3	51	1	0	None	1414018187.96
101	3	51	1	0	None	1414018187.99
101	3	51	1	0	None	1414018188.03
101	3	51	1	0	None	1414018188.06
101	3	51	1	0	None	1414018188.1
101	3	51	1	0	None	1414018188.13
101	3	51	1	0	None	1414018188.16
101	3	51	1	0	None	1414018188.19
101	3	51	1	0	None	1414018188.23
101	3	51	1	0	None	1414018188.25
101	3	51	2	1	None	1414018188.29
101	3	51	2	1	None	1414018188.32
101	3	51	2	1	None	1414018188.35
101	3	51	2	1	None	1414018188.38
101	3	51	2	1	None	1414018188.42
101	3	51	2	1	None	1414018188.46
101	3	51	2	1	None	1414018188.49
101	3	51	2	1	None	1414018188.53
101	3	51	2	1	None	1414018188.56
101	3	51	2	1	None	1414018188.59
101	3	51	2	1	None	1414018188.62
101	3	51	2	1	None	1414018188.66
101	3	51	2	1	None	1414018188.69
101	3	51	2	1	None	1414018188.72
101	3	51	2	1	None	1414018188.75
101	3	51	2	1	None	1414018188.78
101	3	51	2	1	None	1414018188.82
101	3	51	2	1	None	1414018188.85
101	3	51	2	1	None	1414018188.89
101	3	51	2	1	None	1414018188.92
101	3	51	2	1	None	1414018188.95
101	3	51	2	1	None	1414018188.98
101	3	51	2	1	None	1414018189.01
101	3	51	2	1	None	1414018189.05
101	3	51	2	1	None	1414018189.09
101	3	51	2	1	None	1414018189.12
101	3	51	2	1	None	1414018189.15
101	3	51	2	1	None	1414018189.18
101	3	51	2	1	None	1414018189.22
101	3	51	2	1	None	1414018189.25
101	3	51	2	1	None	1414018189.28
101	3	51	2	1	None	1414018189.32
101	3	51	2	1	None	1414018189.35
101	3	51	2	1	None	1414018189.38
101	3	51	2	1	None	1414018189.41
