SID	Run	Trial	Stage	Expression	Decision	Time
101	2	26	2	2	None	1414017741.99
101	2	26	2	2	None	1414017742.03
101	2	26	2	2	None	1414017742.05
101	2	26	2	2	None	1414017742.08
101	2	26	2	2	None	1414017742.11
101	2	26	2	2	None	1414017742.15
101	2	26	2	2	None	1414017742.19
101	2	26	2	2	None	1414017742.23
101	2	26	2	2	None	1414017742.26
101	2	26	2	2	None	1414017742.29
101	2	26	2	2	None	1414017742.31
101	2	26	2	2	None	1414017742.35
101	2	26	2	2	None	1414017742.38
101	2	26	2	2	None	1414017742.41
101	2	26	2	2	None	1414017742.44
101	2	26	2	2	None	1414017742.48
101	2	26	2	2	None	1414017742.51
101	2	26	2	2	None	1414017742.54
101	2	26	2	2	None	1414017742.58
101	2	26	2	2	None	1414017742.61
101	2	26	2	2	None	1414017742.65
101	2	26	2	2	None	1414017742.68
101	2	26	2	2	None	1414017742.71
101	2	26	2	2	None	1414017742.74
101	2	26	2	2	None	1414017742.78
101	2	26	2	2	None	1414017742.81
101	2	26	2	2	None	1414017742.84
101	2	26	2	2	None	1414017742.87
101	2	26	2	2	None	1414017742.91
101	2	26	2	2	None	1414017742.94
101	2	26	2	2	None	1414017742.98
101	2	26	2	2	None	1414017743.01
101	2	26	2	2	None	1414017743.04
101	2	26	2	2	None	1414017743.08
101	2	26	2	2	None	1414017743.11
101	2	26	2	2	None	1414017743.14
101	2	26	2	2	None	1414017743.17
101	2	26	2	2	None	1414017743.21
101	2	26	2	2	None	1414017743.24
101	2	26	2	3	None	1414017743.28
101	2	26	2	3	None	1414017743.31
101	2	26	2	3	None	1414017743.34
101	2	26	2	3	None	1414017743.37
101	2	26	2	3	None	1414017743.4
101	2	26	2	3	None	1414017743.44
101	2	26	2	3	None	1414017743.47
101	2	26	2	3	None	1414017743.5
101	2	26	2	3	None	1414017743.54
101	2	26	2	3	None	1414017743.57
101	2	26	2	3	None	1414017743.61
101	2	26	2	3	None	1414017743.64
101	2	26	2	3	None	1414017743.67
101	2	26	2	3	None	1414017743.7
101	2	26	2	3	None	1414017743.73
101	2	26	2	3	None	1414017743.79
101	2	26	2	3	None	1414017743.83
101	2	26	2	3	None	1414017743.86
101	2	26	2	3	None	1414017743.9
101	2	26	2	3	None	1414017743.93
101	2	26	2	3	None	1414017743.97
101	2	26	2	3	None	1414017744
101	2	26	2	3	None	1414017744.03
101	2	26	2	3	None	1414017744.06
101	2	26	2	3	None	1414017744.1
101	2	26	2	3	None	1414017744.14
101	2	26	2	3	None	1414017744.16
101	2	26	2	3	None	1414017744.19
101	2	26	2	3	None	1414017744.23
101	2	26	2	3	None	1414017744.26
101	2	26	2	3	None	1414017744.3
101	2	26	2	3	None	1414017744.33
101	2	26	2	3	None	1414017744.36
101	2	26	2	3	None	1414017744.39
101	2	26	2	3	None	1414017744.43
101	2	26	2	3	None	1414017744.46
101	2	26	2	3	None	1414017744.5
101	2	26	2	3	None	1414017744.53
101	2	26	2	3	None	1414017744.56
101	2	26	2	3	None	1414017744.59
101	2	26	2	3	None	1414017744.62
101	2	26	2	3	None	1414017744.66
101	2	26	2	3	None	1414017744.69
101	2	26	2	3	None	1414017744.72
101	2	26	2	3	None	1414017744.76
101	2	26	2	3	None	1414017744.79
101	2	26	2	3	None	1414017744.83
101	2	26	2	3	None	1414017744.85
101	2	26	2	3	None	1414017744.89
101	2	26	2	3	None	1414017744.93
101	2	26	2	3	None	1414017744.96
101	2	26	2	3	None	1414017744.99
101	2	26	2	3	None	1414017745.02
101	2	26	2	3	None	1414017745.05
101	2	26	2	3	None	1414017745.09
101	2	26	2	3	None	1414017745.12
101	2	26	2	3	None	1414017745.15
101	2	26	2	3	None	1414017745.18
101	2	26	2	3	None	1414017745.22
101	2	26	2	3	None	1414017745.26
101	2	26	2	3	None	1414017745.29
101	2	26	2	3	None	1414017745.32
101	2	26	2	3	None	1414017745.35
101	2	26	2	3	None	1414017745.38
101	2	26	2	3	None	1414017745.42
101	2	26	2	3	None	1414017745.45
101	2	26	2	3	None	1414017745.48
101	2	26	2	3	None	1414017745.52
101	2	26	2	3	None	1414017745.55
101	2	26	2	3	None	1414017745.58
101	2	26	2	3	None	1414017745.61
101	2	26	2	3	None	1414017745.65
101	2	26	2	3	None	1414017745.68
101	2	26	2	3	None	1414017745.72
101	2	26	2	3	None	1414017745.75
101	2	26	2	3	None	1414017745.78
101	2	26	2	3	None	1414017745.81
101	2	26	2	3	None	1414017745.84
101	2	26	2	3	None	1414017745.89
101	2	26	3	0	None	1414017745.92
101	2	26	3	0	None	1414017745.95
101	2	26	3	0	None	1414017745.98
101	2	26	3	0	None	1414017746.01
101	2	26	3	0	None	1414017746.05
101	2	26	3	0	None	1414017746.08
101	2	26	3	0	None	1414017746.12
101	2	26	3	0	None	1414017746.15
101	2	26	3	0	None	1414017746.18
101	2	26	3	0	None	1414017746.21
101	2	26	3	0	None	1414017746.24
101	2	26	3	0	None	1414017746.28
101	2	26	3	0	None	1414017746.31
101	2	26	3	0	None	1414017746.34
101	2	26	3	0	None	1414017746.38
101	2	26	3	0	None	1414017746.41
101	2	26	3	0	None	1414017746.44
101	2	26	3	0	None	1414017746.47
101	2	26	3	0	None	1414017746.5
101	2	26	3	0	None	1414017746.54
101	2	26	3	0	None	1414017746.57
101	2	26	3	0	None	1414017746.61
101	2	26	3	0	None	1414017746.64
101	2	26	3	0	None	1414017746.67
101	2	26	3	0	None	1414017746.7
101	2	26	3	0	None	1414017746.73
101	2	26	3	0	None	1414017746.77
101	2	26	3	0	None	1414017746.8
101	2	26	3	0	None	1414017746.84
101	2	26	3	0	None	1414017746.87
101	2	26	3	0	None	1414017746.9
101	2	26	3	0	None	1414017746.94
101	2	26	3	0	None	1414017746.97
101	2	26	3	0	None	1414017747
101	2	26	3	0	None	1414017747.04
101	2	26	3	0	None	1414017747.1
