Frame	Acquired	Time
290	True	1414017329.33
291	True	1414017329.39
292	True	1414017329.45
293	True	1414017329.51
294	True	1414017329.57
295	True	1414017329.63
296	True	1414017329.68
297	True	1414017329.74
298	True	1414017329.8
299	True	1414017329.85
300	True	1414017329.91
301	True	1414017329.97
302	True	1414017330.02
303	True	1414017330.08
304	True	1414017330.14
305	True	1414017330.2
306	True	1414017330.25
307	True	1414017330.31
308	True	1414017330.37
309	True	1414017330.42
310	True	1414017330.48
311	True	1414017330.54
312	True	1414017330.6
313	True	1414017330.66
314	True	1414017330.72
315	True	1414017330.77
316	True	1414017330.83
317	True	1414017330.89
318	True	1414017330.94
319	True	1414017331.01
320	True	1414017331.06
321	True	1414017331.12
322	True	1414017331.18
323	True	1414017331.24
324	True	1414017331.3
325	True	1414017331.35
326	True	1414017331.41
327	True	1414017331.47
328	True	1414017331.53
329	True	1414017331.59
330	True	1414017331.65
331	True	1414017331.71
332	True	1414017331.77
333	True	1414017331.82
334	True	1414017331.88
335	True	1414017331.94
336	True	1414017332.0
337	True	1414017332.06
338	True	1414017332.11
339	True	1414017332.17
340	True	1414017332.23
341	True	1414017332.28
342	True	1414017332.34
343	True	1414017332.4
344	True	1414017332.46
345	True	1414017332.52
346	True	1414017332.58
347	True	1414017332.64
348	True	1414017332.69
349	True	1414017332.75
350	True	1414017332.81
351	True	1414017332.86
352	True	1414017332.92
353	True	1414017332.98
354	True	1414017333.04
355	True	1414017333.1
356	True	1414017333.15
357	True	1414017333.21
358	True	1414017333.27
359	True	1414017333.33
360	True	1414017333.39
361	True	1414017333.45
362	True	1414017333.51
363	True	1414017333.57
364	True	1414017333.63
365	True	1414017333.68
366	True	1414017333.74
367	True	1414017333.8
368	True	1414017333.86
369	True	1414017333.92
370	True	1414017333.98
371	True	1414017334.04
372	True	1414017334.1
373	True	1414017334.16
374	True	1414017334.22
375	True	1414017334.28
376	True	1414017334.34
377	True	1414017334.4
378	True	1414017334.46
379	True	1414017334.52
380	True	1414017334.58
381	True	1414017334.63
382	True	1414017334.69
383	True	1414017334.75
384	True	1414017334.81
385	True	1414017334.87
386	True	1414017334.93
387	True	1414017334.98
388	True	1414017335.04
389	True	1414017335.1
390	True	1414017335.16
391	True	1414017335.22
392	True	1414017335.28
393	True	1414017335.34
394	True	1414017335.4
395	True	1414017335.46
396	True	1414017335.51
397	True	1414017335.58
398	True	1414017335.63
399	True	1414017335.69
400	True	1414017335.75
401	True	1414017335.81
402	True	1414017335.87
403	True	1414017335.93
404	True	1414017335.98
405	True	1414017336.05
406	True	1414017336.11
407	True	1414017336.17
408	True	1414017336.23
409	True	1414017336.29
410	True	1414017336.34
411	True	1414017336.4
412	True	1414017336.46
413	True	1414017336.52
414	True	1414017336.58
415	True	1414017336.64
416	True	1414017336.7
417	True	1414017336.76
418	True	1414017336.82
419	True	1414017336.88
420	True	1414017336.94
421	True	1414017337.0
422	True	1414017337.06
423	True	1414017337.12
424	True	1414017337.18
425	True	1414017337.24
426	True	1414017337.3
427	True	1414017337.36
428	True	1414017337.42
429	True	1414017337.48
430	True	1414017337.54
431	True	1414017337.6
432	True	1414017337.66
433	True	1414017337.71
434	True	1414017337.77
435	True	1414017337.83
436	True	1414017337.89
437	True	1414017337.95
438	True	1414017338.01
439	True	1414017338.07
440	True	1414017338.13
441	True	1414017338.19
442	True	1414017338.25
443	True	1414017338.31
444	True	1414017338.36
445	True	1414017338.42
446	True	1414017338.48
447	True	1414017338.54
448	True	1414017338.59
