FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	223	154	188	188	264.454	204.125	283.748	202.287	301.746	205.674	337.086	206.77	357.389	204.948	374.402	207.534	317.394	249.795	-1.14555	12.7626	-2.18466	-0.630467	-1.11315	-0.972509	-1.75569	-0.933969	-0.705078	-1.47666	0.947097	-0.479628	-0.558722	-0.896185	-0.768482	-1.22358	-0.743889	-1.61048	-0.0778652	-0.970065	-0.602354	-1.71268	0.538148	-1.29182	-0.0665932	0.111064	-0.0153252	0.0313656	-0.339253	0.0816163	0.256032	-0.599695	-0.281557	-0.858668
2	426	640	222	154	189	189	263.988	203.692	283.76	202.186	301.544	205.313	337.135	206.473	356.479	205.038	374.716	207.303	317.188	250.499	-1.2095	13.5062	-2.11812	-0.404915	-1.00653	-0.763019	-1.89869	-0.844364	-0.750893	-1.40365	0.911337	-0.00907202	-0.765404	-0.910159	-0.721952	-1.21772	-0.755401	-1.4939	-0.119662	-0.955651	-0.4869	-1.38432	0.578134	-1.359	-0.171036	0.150212	-0.0195429	-0.14646	-0.401107	0.143485	0.0939844	-0.67073	-0.289176	-0.744526
3	426	640	224	155	186	186	265.075	204.765	284.125	202.828	302.056	206.106	337.101	207.007	357.085	205.65	374.102	207.568	317.523	250.475	-1.26567	13.2107	-2.34874	-0.662287	-1.13285	-1.05852	-1.96846	-1.05331	-0.687355	-1.4247	1.08616	-0.687125	-0.631099	-0.821141	-0.901455	-1.19811	-0.704808	-1.54936	-0.0453513	-0.99501	-0.649133	-1.68989	0.505108	-1.22682	0.0133009	0.00196629	-0.0809913	-0.0767274	-0.359366	0.0682861	0.152021	-0.546487	-0.239174	-0.802484
4	426	640	224	155	187	187	265.102	204.638	284.283	201.951	302.237	206.065	337.427	207.046	357.648	205.658	374.584	207.69	317.563	250.539	-1.21716	12.7864	-2.36465	-0.631555	-1.09635	-0.89055	-2.06572	-1.16289	-0.608614	-1.39593	0.979863	-0.395042	-0.721867	-0.809086	-0.729088	-1.21008	-0.720976	-1.55322	-0.0867456	-1.00457	-0.7159	-1.61407	0.467274	-1.28725	-0.0586741	0.0943273	-0.0109733	-0.0293847	-0.333351	0.0413841	0.156622	-0.573967	-0.287461	-0.912252
5	426	640	224	155	187	187	265.164	204.677	283.95	202.628	302.213	206.084	337.321	207.048	357.839	206.462	374.391	207.675	317.752	250.855	-1.16603	12.7947	-2.0134	-0.696864	-1.15279	-1.054	-2.04446	-1.08538	-0.661143	-1.38389	1.00136	-0.635735	-0.67194	-0.766908	-0.864952	-1.19499	-0.713406	-1.49732	-0.0548063	-1.00778	-0.683681	-1.59413	0.498665	-1.36312	-0.062775	0.15549	-0.0519682	-0.164922	-0.374593	0.0134556	0.142023	-0.586802	-0.269019	-0.85747
6	426	640	225	155	187	187	265.248	205.007	283.911	202.275	302.31	206.248	337.431	207.054	357.934	206.171	374.512	207.514	318.168	250.325	-1.32949	12.9423	-2.04792	-0.716592	-1.20069	-0.972523	-2.11333	-0.891473	-0.679006	-1.29199	0.916655	-0.450236	-0.76973	-0.952752	-0.880718	-1.20371	-0.701126	-1.58664	-0.0673525	-1.02159	-0.791711	-1.73015	0.482513	-1.04773	-0.0363706	0.0206616	-0.0567769	-0.088831	-0.376466	0.0624034	0.242768	-0.53988	-0.247497	-0.957603
7	426	640	224	155	188	188	264.831	204.595	283.787	203.397	302.082	205.98	337.382	206.921	357.599	206.261	374.654	207.521	317.639	250.501	-1.12867	12.8302	-2.27646	-0.581604	-1.10092	-0.937187	-2.09271	-0.996255	-0.678161	-1.28401	0.839739	-0.301382	-0.777763	-0.925776	-0.825794	-1.21257	-0.728226	-1.50841	-0.134178	-1.0105	-0.635128	-1.54736	0.528328	-1.26944	-0.0834752	0.120451	-0.0452403	-0.0646436	-0.367533	0.0450224	0.161234	-0.627459	-0.288622	-0.989541
8	426	640	224	155	187	187	264.71	205.298	284.052	202.534	301.796	206.391	336.938	207.057	357.007	204.852	374.04	207.369	317.165	250.73	-1.04544	12.8556	-2.24236	-0.670872	-1.20267	-0.950368	-2.07353	-0.848352	-0.674653	-1.33513	0.902656	-0.350367	-0.770485	-0.950212	-0.870789	-1.20313	-0.709219	-1.53374	-0.0824161	-0.999511	-0.697191	-1.72818	0.452468	-1.17299	0.013082	0.0940431	0.0368019	-0.240092	-0.39027	0.0326036	0.220769	-0.56858	-0.239862	-0.743009
9	426	640	224	155	188	188	264.597	204.759	283.893	202.388	301.961	206.057	337.368	206.913	357.149	205.329	374.751	207.423	317.66	250.605	-1.26201	12.934	-2.6677	-0.48532	-1.12255	-0.911992	-1.97772	-0.991231	-0.755996	-1.21489	0.660776	-0.187353	-0.736894	-0.920083	-0.763258	-1.21803	-0.741001	-1.51891	-0.178626	-1.01412	-0.713076	-1.56621	0.520738	-1.24574	-0.094464	0.0943684	0.00657028	-0.0396646	-0.38959	0.0381209	0.182478	-0.612764	-0.281664	-0.872839
10	426	640	224	155	187	187	265.024	204.285	283.928	202.418	302.008	206.089	337.06	207.429	357.681	205.862	374.073	208.455	317.311	250.169	-1.25646	13.0883	-2.42058	-0.617797	-1.0398	-0.991289	-1.83201	-0.757526	-0.758418	-1.29012	0.854191	-0.428657	-0.646917	-0.908982	-0.699711	-1.17568	-0.687671	-1.55466	0.0841039	-1.01133	-0.632069	-1.77797	0.391346	-1.22897	0.0689987	-0.0711262	-0.0464539	-0.0711247	-0.317952	0.0205628	0.22398	-0.53839	-0.25646	-0.886831
