FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
11	426	640	238	152	182	182	278.974	198.587	297.101	198.414	315.038	201.247	349.226	203.406	367.196	202.877	385.338	205.306	331.667	244.904	-4.3963	13.7294	3.41037	-0.939833	-1.27797	-0.687899	-1.95714	-0.566775	-0.789156	-1.20302	0.835224	-0.298052	-0.760012	-1.43995	-1.38366	-1.08624	-0.789128	-1.52507	0.353571	-1.01018	-0.694747	-1.47186	-0.101223	-0.89174	-0.336393	-0.396007	-0.345091	-0.930449	-0.555903	-0.0744424	0.0774697	-0.298143	-0.124401	-1.34828
12	426	640	238	153	182	182	279.397	199.624	296.564	198.517	315.334	202.131	349.402	204.147	367.174	203.49	385.384	205.897	330.982	245.357	-5.09114	13.6568	4.33941	-1.26425	-1.05372	-0.673074	-1.66211	-0.475591	-0.918325	-0.931547	0.753127	-0.748463	-0.534035	-1.93707	-1.21858	-1.04093	-0.771625	-1.46169	0.528607	-1.03775	-0.713579	-1.46495	-0.214919	-0.940485	-0.256195	-0.518326	-0.348709	-0.86011	-0.484939	-0.00583736	0.042903	-0.317771	-0.148317	-1.34904
13	426	640	238	153	181	181	279.122	199.423	296.447	198.791	315.063	201.741	349.132	203.579	367.022	202.746	385.113	205.14	331.46	244.444	-4.41804	13.4263	3.75857	-1.02934	-1.13368	-0.682081	-1.90931	-0.564026	-0.842814	-1.03273	0.820223	-0.484201	-0.714204	-1.74306	-1.55475	-1.07135	-0.796546	-1.51008	0.556648	-0.987046	-0.655464	-1.64161	-0.08432	-1.05936	-0.236408	-0.439991	-0.514592	-0.944091	-0.399343	-0.0510108	0.244472	-0.247778	-0.0995979	-1.34315
14	426	640	238	153	182	182	278.996	199.49	296.469	198.597	315.062	201.917	349.25	203.856	367.447	202.78	385.359	205.523	331.548	244.8	-4.51515	13.2858	3.0097	-1.18185	-1.09187	-0.68864	-1.77329	-0.579822	-0.908911	-1.0251	0.76853	-0.659929	-0.602257	-1.8928	-1.34821	-1.04547	-0.782197	-1.52806	0.601637	-1.01457	-0.700137	-1.6047	-0.149902	-0.989027	-0.291433	-0.479387	-0.454699	-1.03123	-0.458515	-0.0862881	0.0571816	-0.259544	-0.0908914	-1.28384
15	426	640	239	153	181	181	279.282	199.707	296.289	198.316	315.108	201.935	349.066	203.688	366.691	202.493	384.931	205.162	331.051	244.999	-4.13253	13.6146	3.55874	-1.09186	-1.14091	-0.773606	-1.89547	-0.543745	-0.694222	-0.959882	0.868386	-0.628257	-0.661222	-1.51574	-1.70736	-1.01643	-0.778548	-1.48656	0.695021	-0.99432	-0.617832	-1.52444	-0.205517	-0.818774	-0.247488	-0.45139	-0.453332	-0.968276	-0.456787	-0.0736353	0.153956	-0.252054	-0.0925373	-1.35827
16	426	640	239	153	181	181	279.126	200.008	296.323	198.128	315.042	202.172	349.086	203.863	368.024	203.506	385.039	205.27	331.711	244.986	-4.23482	12.8613	3.8055	-1.11066	-1.15488	-0.647358	-1.90018	-0.545892	-0.843698	-0.989833	0.866245	-0.572053	-0.696086	-1.71392	-1.77279	-1.04602	-0.790072	-1.59031	0.68973	-0.995571	-0.553505	-1.70021	-0.197025	-0.964541	-0.262252	-0.453051	-0.439896	-1.06629	-0.515096	-0.00358383	0.189701	-0.221022	-0.0633393	-1.23232
17	426	640	238	153	182	182	278.564	199.835	296.229	198.236	314.619	202.033	348.794	203.755	366.204	203.616	384.887	205.193	330.763	245.258	-4.29708	13.3736	3.89325	-1.03866	-1.12291	-0.755071	-1.86861	-0.515881	-0.920477	-1.03426	0.840799	-0.61141	-0.681884	-1.79124	-1.35936	-1.08325	-0.789476	-1.45343	0.530315	-0.958849	-0.557274	-1.4272	-0.245254	-1.02075	-0.251115	-0.51996	-0.39652	-0.945967	-0.484814	-0.0720906	0.247977	-0.282423	-0.0846591	-1.21874
18	426	640	238	153	182	182	278.792	199.264	296.184	198.253	314.835	201.815	349.003	203.872	366.859	203.091	385.092	205.664	331.232	245.285	-4.48889	13.1203	3.10989	-1.09882	-1.20736	-0.675859	-1.8147	-0.660464	-0.817697	-1.20229	0.844667	-0.528151	-0.626934	-1.54318	-1.18584	-1.08907	-0.792577	-1.45679	0.377929	-0.984535	-0.561419	-1.3355	-0.260467	-0.875472	-0.274554	-0.449035	-0.3507	-0.953231	-0.511138	-0.0826091	0.265264	-0.316445	-0.0967522	-1.20588
19	426	640	238	153	181	181	278.887	200.433	296.126	197.767	314.774	202.569	348.791	204.234	368.075	204.281	384.716	205.615	331.344	244.797	-4.3256	13.3349	3.47628	-1.21192	-1.13741	-0.602933	-1.75103	-0.655946	-0.727468	-1.02143	0.828917	-0.610611	-0.567458	-1.74716	-1.54693	-1.05351	-0.788406	-1.56681	0.429476	-0.991911	-0.648704	-1.61054	-0.144904	-1.12994	-0.302763	-0.373869	-0.49811	-0.813052	-0.424622	-0.0314138	0.213967	-0.276789	-0.0919642	-1.33199
20	426	640	238	153	182	182	278.75	200.44	296.031	198.971	314.732	202.643	348.838	204.37	367.128	203.46	384.859	205.814	330.982	245.786	-4.85296	13.0462	3.95425	-1.53911	-0.917032	-0.262389	-1.41266	-1.07198	-0.592185	-1.39576	0.971677	-0.65285	-0.285275	-1.86016	-1.11659	-1.13888	-0.824766	-1.44074	-0.617985	-0.961781	-0.578483	-1.29023	-0.192599	-1.05299	-0.3499	-0.440883	-0.327072	-0.663578	-0.621139	-0.0472728	0.252857	-0.395256	-0.117271	-1.32615
