FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	236	153	186	186	276.419	202.387	293.443	200.568	313.313	204.054	348.277	205.264	367.264	203.934	385.198	206.154	331.135	247.353	-4.06537	13.4846	3.61924	-1.4948	-1.247	-0.958108	-0.635923	-1.45602	-1.3583	-1.4115	0.373148	-1.64519	0.570669	-1.83521	-0.66765	-1.19873	-0.829175	-1.67507	-0.256537	-0.877872	-0.768029	-1.64884	-0.319991	-0.451026	-0.0797355	-0.403478	-0.169549	-0.652233	-0.743373	0.250403	0.571952	-0.404995	-0.110277	-1.25451
2	426	640	238	155	184	184	278.021	203.685	294.744	201.481	314.527	205.195	349.123	206.262	367.156	204.698	385.653	207.004	332.057	247.914	-3.89838	15.2177	4.34842	-1.72369	-1.06528	-1.13509	-0.740374	-1.21786	-1.62769	-1.39618	0.369027	-1.88864	0.480515	-1.87401	-0.955023	-1.17427	-0.823007	-1.74754	-0.0601959	-0.876872	-0.6543	-2.04799	-0.345733	-0.419677	-0.0418263	-0.475676	-0.357734	-0.66033	-0.865576	0.239693	0.592033	-0.296635	-0.010803	-1.25491
3	426	640	237	155	186	186	278.018	203.789	296.373	202.023	314.815	205.484	349.688	206.723	367.861	205.033	386.513	207.643	332.666	248.944	-3.07816	14.9577	3.9255	-1.58134	-1.05112	-1.05226	-0.766619	-1.35279	-1.59741	-1.50627	0.15957	-1.57357	0.399302	-1.56532	-0.723719	-1.19477	-0.825018	-1.69971	-0.223784	-0.884514	-0.665524	-1.9497	-0.408269	-0.607799	-0.00980042	-0.37556	-0.283486	-0.706964	-0.917102	0.25191	0.615476	-0.368332	0.00935593	-1.10262
4	426	640	238	156	186	186	278.438	204.624	296.16	202.591	315.223	206.386	350.086	207.689	368.524	206.132	386.9	208.677	333.076	249.851	-3.47322	14.4229	4.05316	-1.61848	-1.09899	-1.04753	-1.13117	-1.03912	-1.53599	-1.31681	0.167736	-1.41406	0.0421281	-1.81439	-0.965296	-1.20228	-0.824491	-1.72458	-0.404681	-0.939032	-0.806925	-1.90835	-0.433238	-0.831482	-0.00832566	-0.407937	-0.361704	-0.771648	-0.908448	0.216418	0.523893	-0.415133	-0.0260029	-1.24065
5	426	640	239	156	185	185	279.385	205.236	297.777	203.177	316.147	206.839	350.987	207.991	368.833	206.603	387.774	208.82	333.952	251.245	-4.12595	15.5489	3.81331	-1.46644	-1.10908	-0.956465	-1.24025	-1.15634	-1.33353	-1.61948	0.390478	-1.14973	-0.0694893	-1.39412	-0.939318	-1.22129	-0.830828	-1.61131	-0.416085	-0.941268	-0.655386	-1.49977	-0.298827	-1.02389	-0.170661	-0.326634	-0.396358	-0.827703	-0.899471	0.206407	0.481493	-0.341011	-0.0637278	-1.03607
6	426	640	243	160	180	180	282.813	207.593	300.123	207.321	318.42	209.239	352.166	210.443	369.523	211.067	387.8	211.339	335.941	251.837	-5.52491	11.9842	3.25222	-2.27571	-0.748783	-0.740853	-0.904459	-1.90378	-0.377694	-1.96947	0.754244	-1.5418	0.544678	-1.37477	-0.364175	-1.06748	-0.806977	-1.60418	-1.0233	-0.703995	0.291712	-1.25852	-0.541768	-1.63228	-0.14959	-0.468417	-0.292529	-0.848066	-1.11644	0.45211	0.432862	-0.381672	0.0697702	-1.16662
7	426	640	243	159	182	182	282.434	207.252	298.955	205.75	318.515	208.759	352.708	209.826	369.125	208.692	388.813	210.572	337.28	251.28	-5.1666	12.999	4.89237	-2.38918	-0.871218	-1.0082	-0.520211	-1.97032	-0.531176	-2.21429	0.419232	-1.71978	0.962484	-1.24867	-0.145075	-1.14575	-0.830398	-1.57868	-1.06668	-0.471058	0.63512	-1.34186	-0.698727	-2.04929	-0.11058	-0.622357	-0.191088	-1.07512	-1.24976	0.550209	0.269953	-0.261785	0.123106	-1.03682
8	426	640	241	160	186	186	281.552	208.439	299.239	205.805	318.39	210.086	353.301	211.279	370.748	209.905	390.165	212.15	337.419	254.671	-4.72147	15.338	4.48684	-1.69901	-1.18966	-1.13272	-0.693137	-1.91458	-0.919054	-1.9424	0.05176	-1.39179	0.658993	-1.26463	-0.261427	-1.22235	-0.82276	-1.40107	-1.03945	-0.712253	0.246434	-1.05937	-0.443459	-1.23546	0.0608085	-0.74893	-0.0396849	-0.821401	-1.57561	0.486104	0.578298	-0.19371	0.101064	-0.618832
9	426	640	242	161	186	186	282.506	209.484	300.226	207.318	319.317	211.298	354.206	212.65	371.811	211.59	391.048	213.688	337.722	256.195	-4.89582	15.5657	4.49956	-1.51656	-1.10385	-1.22967	-1.14614	-1.7431	-1.32284	-1.66446	-0.138152	-1.29246	0.181802	-1.02665	-1.02602	-1.25023	-0.826264	-1.59551	-0.811571	-0.764661	-0.328961	-1.27766	-0.270095	-1.10945	0.063489	-0.867853	-0.233423	-0.982116	-1.29487	0.302605	0.448957	-0.148185	-0.0403573	-0.620994
10	426	640	243	161	187	187	284.608	209.015	302.959	207.841	321.658	211.283	356.777	213.062	375.401	212.122	393.866	214.549	340.09	256.389	-5.20262	15.8425	4.91685	-1.49063	-1.19921	-1.46824	-1.18535	-1.7674	-1.31697	-1.79605	0.0847569	-1.56752	0.238022	-0.918848	-0.544859	-1.25065	-0.829358	-1.60131	-0.77988	-0.876732	-0.310966	-1.03811	-0.143014	-1.04771	0.197432	-0.839375	-0.280758	-0.963557	-1.27456	0.413836	0.398153	-0.118685	-0.0917179	-0.828295
