FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
11	426	640	238	152	183	183	281.837	195.619	299.54	196.192	317.806	200.167	351.924	204.116	369.624	205.611	387.982	207.906	331.144	244.272	-7.60645	11.3568	0.216753	-0.912582	-1.17457	-0.567774	-1.69455	-0.878876	-0.734474	-1.49335	0.403624	0.176686	-0.624664	-1.2708	-1.09167	-1.1315	-0.814074	-1.31691	-0.0996169	-0.900197	-0.811454	-2.17421	-0.271367	-1.18155	-0.239406	-0.252079	-0.344198	-0.404718	-0.652073	0.135108	0.348931	-0.414964	-0.24726	-1.27603
12	426	640	238	151	183	183	281.738	195.151	299.452	195.425	317.823	199.846	352.052	203.933	369.724	204.788	388.229	207.867	330.514	244.445	-7.51849	11.6917	0.143335	-0.732434	-1.16236	-0.609971	-1.79635	-0.914346	-0.707068	-1.63978	0.499308	0.33877	-0.710791	-1.31777	-0.866902	-1.13759	-0.817796	-1.20349	-0.142273	-0.941434	-0.723004	-2.1013	-0.163291	-1.05062	-0.306768	-0.110352	-0.144191	-0.466054	-0.638782	0.288118	0.420545	-0.449465	-0.235207	-1.40362
13	426	640	238	151	183	183	281.77	195.345	299.161	195.378	317.779	200.016	351.936	204.081	370.305	204.578	388.035	207.993	330.903	244.233	-7.70121	11.9758	0.264436	-0.809205	-1.24568	-0.579153	-1.75882	-0.826529	-0.740587	-1.56331	0.440511	0.309003	-0.692062	-1.42266	-1.04207	-1.11662	-0.816545	-1.25032	-0.0705173	-0.903297	-0.830492	-2.19708	-0.289295	-1.09944	-0.296631	-0.274569	-0.334594	-0.429694	-0.630612	0.151958	0.407983	-0.450067	-0.228984	-1.30106
14	426	640	239	152	182	182	282.27	195.806	299.115	195.638	318.097	200.198	352.078	204.001	370.568	204.266	387.99	207.638	331.616	243.958	-7.83647	11.8531	0.388394	-0.975313	-1.25063	-0.653965	-1.55634	-0.852473	-0.793168	-1.50504	0.558127	-0.184836	-0.485624	-1.29634	-1.09027	-1.10005	-0.812247	-1.40868	0.0106022	-0.902837	-0.74259	-2.16789	-0.343223	-1.15925	-0.240373	-0.328491	-0.488386	-0.259356	-0.565586	0.0457445	0.363799	-0.389604	-0.205983	-1.0891
15	426	640	238	152	183	183	281.895	195.597	299.773	196.321	317.934	200.298	352.118	204.393	369.895	205.378	388.248	208.335	331.056	244.263	-7.59019	11.3493	0.41588	-0.875884	-1.17196	-0.472315	-1.64276	-0.806095	-0.674564	-1.4647	0.227598	0.499364	-0.646095	-1.51938	-0.848576	-1.09444	-0.798568	-1.27622	-0.0516699	-0.922187	-0.767603	-2.08549	-0.312233	-1.18028	-0.297693	-0.26325	-0.309041	-0.327268	-0.657655	0.146401	0.374309	-0.446355	-0.242695	-1.31772
16	426	640	239	152	181	181	282.216	195.817	298.943	195.654	317.938	200.261	351.82	204.114	370.742	205.008	387.628	207.805	331.368	243.135	-7.11115	11.2475	0.558029	-0.942816	-1.2511	-0.530071	-1.62401	-0.838486	-0.801019	-1.43738	0.689654	-0.153124	-0.551045	-1.27693	-1.22351	-1.09019	-0.773858	-1.39523	0.196941	-0.864412	-0.66639	-2.18074	-0.363331	-1.16696	-0.250846	-0.286289	-0.700771	-0.364627	-0.486826	0.0503817	0.261018	-0.380015	-0.298152	-0.872774
17	426	640	238	152	182	182	281.977	195.73	299.021	195.379	317.848	200.256	351.873	204.185	370.36	205.064	387.832	207.954	331.354	243.642	-6.9862	11.7147	0.160179	-0.812711	-1.28547	-0.58004	-1.5698	-0.811369	-0.797896	-1.45218	0.41171	0.134733	-0.557341	-1.37634	-1.03865	-1.09212	-0.80433	-1.34979	-0.0322809	-0.912086	-0.791691	-2.2379	-0.339664	-1.18571	-0.254509	-0.252333	-0.496138	-0.248872	-0.617042	0.0426908	0.384649	-0.41616	-0.262076	-1.00184
18	426	640	237	151	185	185	281.44	195.311	299.279	195.977	317.756	200.016	352.204	204.111	369.55	205.34	388.611	208.05	331.413	244.632	-7.57383	11.3539	0.425691	-0.883416	-1.26735	-0.537245	-1.76193	-0.852717	-0.712632	-1.42628	0.383098	0.253212	-0.674828	-1.32555	-0.796504	-1.17851	-0.829338	-1.29535	-0.264983	-0.929002	-0.732573	-1.95595	-0.207334	-0.932176	-0.380941	-0.249077	-0.0603566	-0.514068	-0.625901	0.204691	0.445989	-0.403221	-0.178396	-1.53466
19	426	640	238	151	183	183	281.805	195.492	299.548	195.966	317.848	200.117	352.037	204.138	371.037	205.673	388.17	208.002	331.373	243.836	-7.55455	11.5614	0.396752	-0.788006	-1.20326	-0.544774	-1.64974	-0.908191	-0.743185	-1.47079	0.291572	0.343696	-0.621072	-1.36964	-0.875958	-1.12285	-0.807407	-1.35579	-0.0776093	-0.923827	-0.811913	-2.19724	-0.33838	-0.992129	-0.291441	-0.288863	-0.40848	-0.360697	-0.612633	0.109706	0.439461	-0.437422	-0.231057	-1.13543
20	426	640	238	152	183	183	281.82	196.258	299.208	196.018	317.823	200.625	351.971	204.402	370.629	204.719	388.058	208.01	330.922	244.722	-7.45989	11.6899	0.321696	-1.04986	-1.2383	-0.621465	-1.43191	-0.744344	-0.758377	-1.36023	0.082582	0.125739	-0.450458	-1.48089	-0.97036	-1.13734	-0.821858	-1.27869	-0.141738	-0.940622	-0.793633	-2.14527	-0.269833	-0.919008	-0.23339	-0.285953	-0.243332	-0.415709	-0.665839	0.229353	0.492584	-0.429185	-0.205103	-1.18611
