FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
11	426	640	241	150	184	184	283.026	195.67	300.847	193.757	319.309	199.008	353.713	201.808	371.812	201.878	390.059	204.382	335.241	242.238	-5.7581	12.3543	3.0038	-1.11543	-1.05004	-0.653529	-1.55044	-0.91843	-0.978905	-1.48941	0.890082	-0.676929	-0.428786	-1.61392	-1.56412	-1.17326	-0.828155	-1.51068	-0.300763	-0.858545	-0.409398	-1.77262	-0.258984	-0.327879	-0.0195721	-0.5799	-0.660004	-0.497241	-0.526086	0.130969	0.348224	-0.381273	-0.214348	-1.32534
12	426	640	241	151	182	182	283.642	196.849	299.944	195.415	319.648	200.259	353.788	203.131	372.324	202.792	389.858	205.782	335.102	243.037	-5.95609	12.3712	2.81067	-1.38829	-1.12245	-0.611716	-1.45818	-0.848562	-0.773986	-1.39823	1.02187	-0.905749	-0.299617	-1.56074	-1.57196	-1.10048	-0.796901	-1.42153	-0.260805	-0.875439	-0.451702	-1.91397	-0.250972	-0.545879	-0.0527176	-0.381529	-0.764697	-0.254923	-0.620239	0.114146	0.303851	-0.476135	-0.25414	-1.19869
13	426	640	243	153	181	181	284.843	198.883	300.066	199.245	320.574	202.016	354.452	204.627	369.812	206.965	390.241	207.007	336.58	244.254	-7.07436	8.56355	2.92376	-2.3568	-0.971407	-0.31504	-1.20324	-1.75314	0.0589944	-1.87128	0.885885	-1.02272	0.206766	-1.43808	-0.901521	-0.780549	-0.788498	-1.36752	-0.754961	-0.687566	0.134799	-0.9301	-0.759776	-0.607765	-0.0911618	-0.305971	-0.482198	-0.209847	-0.883549	0.281248	0.509506	-0.491642	-0.0899655	-1.31944
14	426	640	243	153	181	181	284.471	198.284	300.685	197.526	320.218	201.653	354.114	204.488	372.395	204.67	389.924	207.104	335.523	244.032	-6.71417	10.3952	3.33997	-1.71812	-1.00528	-0.640967	-1.04722	-1.57417	-0.137702	-2.17165	1.17377	-1.01246	0.237283	-1.19479	-1.06789	-1.0245	-0.810551	-1.1976	-0.720401	-0.603021	0.57897	-1.72135	-0.422482	-0.91937	-0.116564	-0.364105	-0.696612	-0.142912	-0.794308	0.386142	0.268278	-0.419868	-0.131073	-1.11384
15	426	640	241	152	183	183	283.556	197.907	300.598	196.36	319.817	201.231	354.198	204.018	372.803	203.996	390.521	206.577	335.057	244.655	-6.46443	12.0204	2.25764	-1.41412	-0.841739	-0.575286	-1.39267	-1.13539	-0.735357	-1.62428	0.978854	-0.830767	-0.236228	-1.55189	-1.58061	-1.18173	-0.828509	-1.31257	-0.802073	-0.84788	-0.402493	-1.84443	-0.275852	-0.352948	-0.0168941	-0.371828	-0.419334	-0.345963	-0.868106	0.281567	0.606392	-0.399713	-0.171979	-1.36308
16	426	640	241	151	185	185	283.81	196.756	300.41	194.753	320.243	200.522	354.792	203.726	372.398	202.945	391.297	206.725	335.346	244.08	-6.07545	12.3956	2.93033	-1.2049	-0.903141	-0.50562	-1.42181	-1.25381	-0.725684	-1.615	1.121	-0.77681	-0.263876	-1.47452	-1.2902	-1.20222	-0.830735	-1.31877	-0.633767	-0.888107	-0.464692	-2.01863	-0.17439	-0.66574	-0.0189917	-0.548243	-0.577405	-0.470714	-0.72662	0.22309	0.487015	-0.456199	-0.192836	-1.48997
17	426	640	242	152	184	184	284.397	197.631	300.977	196.37	320.675	201.028	355.074	203.885	373.316	204.08	391.416	206.518	336.512	244.29	-6.40527	12.3825	2.97032	-1.48558	-0.910932	-0.624768	-1.13413	-1.22691	-0.781502	-1.61207	0.816027	-0.98606	0.00430609	-1.73339	-1.14361	-1.16597	-0.830813	-1.44857	-0.404455	-0.836829	-0.537143	-1.93367	-0.375082	-0.491882	-0.029717	-0.544785	-0.538765	-0.289275	-0.773372	0.190744	0.47915	-0.40721	-0.178059	-1.21034
18	426	640	241	151	184	184	283.635	197.532	300.758	196.495	320.037	200.838	354.552	203.607	372.818	204.059	391.016	206.147	336.136	244.158	-6.22178	11.9137	1.6597	-1.51628	-0.794776	-0.965334	-0.794621	-1.12823	-1.01862	-1.71384	0.470503	-1.19041	0.284863	-2.2309	-0.673361	-1.16372	-0.830123	-1.48468	-0.370572	-0.781973	-0.50535	-1.98584	-0.518316	-0.71525	0.121452	-0.614042	-0.48226	-0.203346	-0.707962	0.167539	0.51745	-0.318402	-0.0885251	-0.983403
19	426	640	241	150	183	183	283.333	195.612	300.689	194.751	319.467	199.057	353.73	201.96	371.386	202.203	389.929	204.644	334.76	242.176	-5.68014	12.6951	2.40794	-1.13176	-1.08183	-0.417354	-1.2624	-1.41001	-0.980857	-1.78538	0.730224	-0.507335	-0.196125	-1.52919	-0.347517	-1.09771	-0.820051	-1.4844	-0.177653	-0.752743	-0.482693	-2.20672	-0.499884	-0.95335	-0.0346755	-0.41924	-0.743639	-0.249937	-0.603508	0.184639	0.356245	-0.334631	-0.17213	-1.03492
20	426	640	240	148	185	185	283.087	194.318	299.983	193.87	319.666	197.951	354.352	201.027	371.864	199.728	390.999	203.889	335.213	240.735	-5.84924	14.1663	2.85225	-1.46627	-0.871545	-0.872303	-1.05164	-1.1066	-0.846505	-1.68282	0.377179	-0.832157	0.0355702	-1.72161	-0.80405	-1.09275	-0.82296	-1.388	-0.376062	-0.896821	-0.732935	-2.1683	-0.359817	-0.779223	-0.17435	-0.354034	-0.432415	-0.762439	-0.540826	0.140647	0.530182	-0.278232	-0.053909	-1.31308
21	426	640	242	146	182	182	284.021	191.918	300.286	190.768	319.913	195.117	353.944	197.789	371.606	198.858	389.895	200.232	335.114	236.943	-6.62197	13.9593	2.65337	-1.68155	-0.963283	-0.833356	-1.29304	-1.05274	-0.611831	-1.46116	0.610586	-1.0285	-0.0674362	-2.16614	-1.0613	-0.915186	-0.772552	-1.34724	-0.349845	-0.805353	-0.276845	-1.92162	-0.37331	-0.729744	-0.390661	-0.207911	-0.854332	-0.900339	-0.427556	0.0438279	0.39215	-0.288423	-0.146782	-1.09447
